Day,Bitcoin,Ethereum,Crypto,USD,Stock
10/12/2020,8,1,1,20,61
10/13/2020,8,1,1,21,67
10/14/2020,7,1,1,21,63
10/15/2020,8,1,1,20,63
10/16/2020,7,1,1,19,60
10/17/2020,6,1,1,14,29
10/18/2020,7,1,1,14,26
10/19/2020,8,1,1,19,61
10/20/2020,10,1,1,19,61
10/21/2020,14,1,2,20,63
10/22/2020,15,1,2,20,63
10/23/2020,13,1,2,19,62
10/24/2020,10,1,1,15,28
10/25/2020,10,1,1,14,26
10/26/2020,11,1,2,20,59
10/27/2020,13,1,2,21,61
10/28/2020,13,1,1,22,67
10/29/2020,11,1,1,20,68
10/30/2020,10,1,1,19,65
10/31/2020,11,1,1,15,28
11/1/2020,11,1,1,15,25
11/2/2020,11,1,1,21,60
11/3/2020,10,1,1,21,64
11/4/2020,10,1,1,20,58
11/5/2020,15,1,1,21,62
11/6/2020,17,1,2,21,63
11/7/2020,13,2,2,17,33
11/8/2020,12,1,2,17,29
11/9/2020,14,1,2,25,100
11/10/2020,12,1,2,23,89
11/11/2020,12,1,2,23,77
11/12/2020,13,1,1,22,76
11/13/2020,15,1,2,22,78
11/14/2020,12,1,2,17,39
11/15/2020,11,1,2,16,32
11/16/2020,14,1,2,22,79
11/17/2020,20,2,2,23,85
11/18/2020,23,2,2,24,86
11/19/2020,18,2,2,23,86
11/20/2020,19,2,2,22,77
11/21/2020,19,2,3,18,38
11/22/2020,18,3,2,17,36
11/23/2020,17,3,3,23,78
11/24/2020,23,4,3,25,93
11/25/2020,22,3,2,25,89
11/26/2020,26,3,3,24,55
11/27/2020,18,2,2,23,71
11/28/2020,15,2,2,18,41
11/29/2020,15,2,2,18,35
11/30/2020,22,3,2,25,81
12/1/2020,21,3,2,24,87
12/2/2020,18,2,2,23,85
12/3/2020,16,2,2,22,90
12/4/2020,15,2,2,22,84
12/5/2020,14,2,2,17,44
12/6/2020,13,2,2,16,36
12/7/2020,14,2,2,21,81
12/8/2020,14,2,2,22,88
12/9/2020,15,1,2,22,92
12/10/2020,13,2,2,22,99
12/11/2020,14,1,2,21,88
12/12/2020,12,1,2,17,47
12/13/2020,13,2,2,16,37
12/14/2020,12,1,2,20,78
12/15/2020,13,1,2,21,83
12/16/2020,25,2,2,23,80
12/17/2020,41,4,3,27,84
12/18/2020,28,3,2,23,84
12/19/2020,24,3,3,18,44
12/20/2020,22,2,3,18,35
12/21/2020,26,2,3,23,82
12/22/2020,22,2,2,23,88
12/23/2020,20,2,3,23,84
12/24/2020,18,2,2,21,77
12/25/2020,21,2,2,18,40
12/26/2020,30,3,3,20,36
12/27/2020,40,4,3,20,34
12/28/2020,32,4,3,24,77
12/29/2020,28,4,3,23,79
12/30/2020,30,4,3,23,79
12/31/2020,31,3,3,23,80
1/1/2021,10,1,1,7,16
1/2/2021,19,2,1,9,13
1/3/2021,21,3,2,9,14
1/4/2021,18,4,2,11,29
1/5/2021,15,3,2,10,29
1/6/2021,17,3,2,10,31
1/7/2021,25,4,2,11,34
1/8/2021,25,4,2,11,36
1/9/2021,18,3,2,8,20
1/10/2021,18,4,2,8,17
1/11/2021,27,4,2,11,35
1/12/2021,21,3,2,10,37
1/13/2021,18,2,1,9,37
1/14/2021,18,2,2,10,38
1/15/2021,16,2,1,9,35
1/16/2021,13,2,2,7,18
1/17/2021,12,2,2,7,15
1/18/2021,11,2,1,9,23
1/19/2021,11,3,2,9,33
1/20/2021,11,3,1,9,35
1/21/2021,14,2,1,9,35
1/22/2021,15,2,1,9,35
1/23/2021,11,2,1,7,19
1/24/2021,10,2,1,7,16
1/25/2021,10,3,1,9,39
1/26/2021,10,2,1,8,44
1/27/2021,10,2,1,9,71
1/28/2021,11,2,2,9,100
1/29/2021,17,3,4,10,94
1/30/2021,12,2,3,8,41
1/31/2021,10,2,3,7,28
2/1/2021,10,2,3,10,62
2/2/2021,10,3,2,9,61
2/3/2021,10,4,2,9,57
2/4/2021,11,3,3,9,52
2/5/2021,9,3,3,9,47
2/6/2021,12,3,3,7,24
2/7/2021,10,3,3,7,20
2/8/2021,23,3,3,10,44
2/9/2021,25,4,3,11,47
2/10/2021,17,3,3,10,48
2/11/2021,17,3,4,9,48
2/12/2021,16,3,3,9,43
2/13/2021,13,3,3,7,21
2/14/2021,14,3,3,8,18
2/15/2021,15,3,3,9,25
2/16/2021,17,3,3,10,39
2/17/2021,19,3,3,10,40
2/18/2021,17,3,3,10,40
2/19/2021,18,3,3,10,37
2/20/2021,21,4,4,9,20
2/21/2021,18,3,4,8,16
2/22/2021,21,4,3,10,37
2/23/2021,25,4,3,11,42
2/24/2021,19,3,3,10,43
2/25/2021,16,2,3,10,47
2/26/2021,16,3,2,10,41
2/27/2021,13,2,3,8,19
2/28/2021,15,3,3,8,16
3/1/2021,13,2,2,10,35
3/2/2021,13,2,2,9,37
3/3/2021,12,2,2,9,37
3/4/2021,11,2,2,9,37
3/5/2021,11,2,2,9,37
3/6/2021,10,2,2,7,18
3/7/2021,11,2,2,7,14
3/8/2021,10,2,2,9,35
3/9/2021,12,2,2,10,38
3/10/2021,13,2,2,10,42
3/11/2021,12,2,3,9,39
3/12/2021,12,2,3,9,37
3/13/2021,15,3,3,8,17
3/14/2021,15,2,3,8,14
3/15/2021,35,5,8,23,98
3/16/2021,32,5,8,24,93
3/17/2021,31,5,7,23,83
3/18/2021,31,4,7,24,86
3/19/2021,27,5,7,22,80
3/20/2021,26,5,7,18,37
3/21/2021,26,4,7,20,33
3/22/2021,27,4,7,24,76
3/23/2021,28,4,6,24,77
3/24/2021,31,4,7,24,79
3/25/2021,33,5,7,24,79
3/26/2021,28,4,6,23,76
3/27/2021,25,4,7,18,36
3/28/2021,25,4,7,18,31
3/29/2021,26,4,7,24,74
3/30/2021,29,5,8,26,75
3/31/2021,28,5,8,26,78
4/1/2021,31,6,7,25,79
4/2/2021,27,9,8,23,53
4/3/2021,26,8,9,19,30
4/4/2021,24,7,9,20,28
4/5/2021,25,6,10,24,72
4/6/2021,25,6,10,24,72
4/7/2021,26,6,9,24,70
4/8/2021,23,5,8,23,69
4/9/2021,22,5,8,22,66
4/10/2021,25,6,9,20,33
4/11/2021,25,6,10,19,30
4/12/2021,25,6,9,24,69
4/13/2021,34,7,10,25,75
4/14/2021,38,8,12,25,85
4/15/2021,31,8,12,26,80
4/16/2021,34,9,18,25,79
4/17/2021,29,7,16,21,38
4/18/2021,52,9,18,23,34
4/19/2021,40,7,17,26,72
4/20/2021,37,7,19,26,74
4/21/2021,31,7,15,24,70
4/22/2021,34,9,14,25,73
4/23/2021,53,8,17,27,69
4/24/2021,38,6,11,21,35
4/25/2021,32,6,12,20,31
4/26/2021,35,7,11,26,69
4/27/2021,34,8,12,26,74
4/28/2021,28,8,12,24,73
4/29/2021,26,8,11,23,73
4/30/2021,26,8,11,22,69
5/1/2021,27,10,12,21,33
5/2/2021,24,10,12,19,28
5/3/2021,27,17,14,25,67
5/4/2021,29,19,17,26,72
5/5/2021,27,16,19,25,72
5/6/2021,27,16,20,25,79
5/7/2021,24,13,19,25,73
5/8/2021,26,15,21,21,37
5/9/2021,27,16,22,22,33
5/10/2021,27,19,24,27,70
5/11/2021,26,14,23,26,74
5/12/2021,28,16,21,25,74
5/13/2021,66,18,22,28,76
5/14/2021,40,14,18,26,72
5/15/2021,33,11,19,21,33
5/16/2021,36,12,20,21,28
5/17/2021,50,14,17,28,66
5/18/2021,39,11,16,26,71
5/19/2021,97,22,31,34,71
5/20/2021,74,16,19,30,66
5/21/2021,56,13,16,27,64
5/22/2021,51,12,14,22,30
5/23/2021,58,14,18,23,26
5/24/2021,56,14,14,28,60
5/25/2021,44,12,12,27,68
5/26/2021,39,11,12,26,73
5/27/2021,33,9,11,26,77
5/28/2021,36,9,11,24,77
5/29/2021,35,9,10,21,34
5/30/2021,32,9,10,20,28
5/31/2021,31,8,9,23,38
6/1/2021,30,8,9,25,74
6/2/2021,30,7,9,25,91
6/3/2021,29,7,10,26,100
6/4/2021,33,7,9,24,80
6/5/2021,29,7,10,19,36
6/6/2021,31,7,9,19,30
6/7/2021,30,7,9,23,75
6/8/2021,40,8,10,25,83
6/9/2021,38,7,8,24,83
6/10/2021,32,6,8,23,79
6/11/2021,27,5,7,23,69
