Date,TweetNumber
2015/01/16,9.983
2015/01/17,8.437
2015/01/18,7.633
2015/01/19,7.191
2015/01/20,7.42
2015/01/21,8.122
2015/01/22,8.193
2015/01/23,7.365
2015/01/24,7.42
2015/01/25,7.12
2015/01/26,10.629
2015/01/27,9.139
2015/01/28,8.351
2015/01/29,8.564
2015/01/30,7.578
2015/01/31,6.545
2015/02/01,7.53
2015/02/02,6.677
2015/02/03,7.103
2015/02/04,6.961
2015/02/05,7.814
2015/02/06,7.53
2015/02/07,8.524
2015/02/08,8.382
2015/02/09,8.382
2015/02/10,8.098
2015/02/11,7.53
2015/02/12,7.388
2015/02/13,7.103
2015/02/14,6.819
2015/02/15,7.103
2015/02/16,7.245
2015/02/17,7.245
2015/02/18,7.814
2015/02/19,7.814
2015/02/20,11.508
2015/02/21,6.961
2015/02/22,7.672
2015/02/23,6.961
2015/02/24,6.677
2015/02/25,6.677
2015/02/26,6.535
2015/02/27,6.961
2015/02/28,6.535
2015/03/01,6.961
2015/03/02,7.672
2015/03/03,8.098
2015/03/04,8.24
2015/03/05,7.956
2015/03/06,8.808
2015/03/07,9.092
2015/03/08,7.956
2015/03/09,7.814
2015/03/10,8.098
2015/03/11,8.098
2015/03/12,7.814
2015/03/13,7.672
2015/03/14,7.388
2015/03/15,7.388
2015/03/16,7.245
2015/03/17,7.245
2015/03/18,7.388
2015/03/19,7.53
2015/03/20,7.103
2015/03/21,7.245
2015/03/22,6.393
2015/03/23,7.814
2015/03/24,7.245
2015/03/25,7.103
2015/03/26,6.819
2015/03/27,6.109
2015/03/28,5.967
2015/03/29,5.967
2015/03/30,7.103
2015/03/31,6.961
2015/04/01,7.149
2015/04/02,7.142
2015/04/03,6.828
2015/04/04,6.294
2015/04/05,6.28
2015/04/06,6.865
2015/04/07,6.957
2015/04/08,7.028
2015/04/09,7.227
2015/04/10,6.622
2015/04/11,6.466
2015/04/12,6.087
2015/04/13,6.75
2015/04/14,7.234
2015/04/15,6.544
2015/04/16,6.395
2015/04/17,6.152
2015/04/18,5.874
2015/04/19,5.925
2015/04/20,6.388
2015/04/21,6.551
2015/04/22,6.879
2015/04/23,7.149
2015/04/24,6.145
2015/04/25,6.01
2015/04/26,6.324
2015/04/27,6.395
2015/04/28,6.131
2015/04/29,6.53
2015/04/30,7.078
2015/05/01,6.553
2015/05/02,5.396
2015/05/03,5.653
2015/05/04,6.039
2015/05/05,6.424
2015/05/06,5.268
2015/05/07,6.553
2015/05/08,6.553
2015/05/09,5.653
2015/05/10,6.039
2015/05/11,6.424
2015/05/12,6.167
2015/05/13,6.424
2015/05/14,7.837
2015/05/15,6.424
2015/05/16,6.296
2015/05/17,6.681
2015/05/18,6.81
2015/05/19,6.553
2015/05/20,7.067
2015/05/21,6.553
2015/05/22,6.553
2015/05/23,6.681
2015/05/24,6.553
2015/05/25,5.653
2015/05/26,6.938
2015/05/27,6.424
2015/05/28,5.782
2015/05/29,6.938
2015/05/30,8.223
2015/05/31,7.195
2015/06/01,6.424
2015/06/02,6.81
2015/06/03,6.681
2015/06/04,6.938
2015/06/05,6.167
2015/06/06,5.91
2015/06/07,6.296
2015/06/08,6.553
2015/06/09,6.424
2015/06/10,6.296
2015/06/11,6.296
